Categories,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Name,Псевдоним,Regular price,Short description,Description,_aioseop_title,Усиленная дверная коробка B90,Изображение,Images,Gallery,Attribute 2 name,Алюминиевый нащельник,Открывание,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Цвет иллюминатора,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,_aioseop_keywords,Attribute 4 name,Свободный атрибут,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,_aioseop_description,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global
Погонаж,Серия,Дверные коробки,1,1,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON белая,,4536,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON белая,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON белая,,full________________.png,https://dvernoyton.com/components/com_jshopping/files/img_products/full________________.png,https://dvernoyton.com/components/com_jshopping/files/img_products/full________________.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON белая,Размер,,,1,1,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON белая,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
Погонаж,Серия,Дверные коробки,1,1,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON серая,,3990,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON серая,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON серая,,____________________________________________________1.png,https://dvernoyton.com/components/com_jshopping/files/img_products/____________________________________________________1.png,https://dvernoyton.com/components/com_jshopping/files/img_products/____________________________________________________1.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON серая,Размер,,,1,1,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON серая,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
Погонаж,Серия,Дверные коробки,1,1,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON серая,,4788,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON серая,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON серая,,____________________________________________________2.png,https://dvernoyton.com/components/com_jshopping/files/img_products/____________________________________________________2.png,https://dvernoyton.com/components/com_jshopping/files/img_products/____________________________________________________2.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON серая,Размер,,,1,1,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON серая,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
Погонаж,Серия,Дверные коробки,1,1,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON крем матовый,,3990,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON крем матовый,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON крем матовый,,__________________________________________________________1.png,https://dvernoyton.com/components/com_jshopping/files/img_products/__________________________________________________________1.png,https://dvernoyton.com/components/com_jshopping/files/img_products/__________________________________________________________1.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON крем матовый,Размер,,,1,1,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON крем матовый,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
Погонаж,Серия,Дверные коробки,1,1,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON крем матовый,,4788,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON крем матовый,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON крем матовый,,__________________________________________________________2.png,https://dvernoyton.com/components/com_jshopping/files/img_products/__________________________________________________________2.png,https://dvernoyton.com/components/com_jshopping/files/img_products/__________________________________________________________2.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON крем матовый,Размер,,,1,1,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON крем матовый,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
Погонаж,Серия,Дверные коробки,1,1,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON белая,,9390,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON белая,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON белая,,____________________________________________________________._.png,https://dvernoyton.com/components/com_jshopping/files/img_products/____________________________________________________________._.png,https://dvernoyton.com/components/com_jshopping/files/img_products/____________________________________________________________._.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON белая,Размер,,,1,1,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON белая,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
Погонаж,Серия,Дверные коробки,1,1,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON белая,,11268,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON белая,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON белая,,____________________________________________________________._.png,https://dvernoyton.com/components/com_jshopping/files/img_products/____________________________________________________________._.png,https://dvernoyton.com/components/com_jshopping/files/img_products/____________________________________________________________._.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON белая,Размер,,,1,1,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON белая,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
Погонаж,Серия,Дверные коробки,1,1,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON серая,,11130,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON серая,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON серая,,_________________________________________________.____________.png,https://dvernoyton.com/components/com_jshopping/files/img_products/_________________________________________________.____________.png,https://dvernoyton.com/components/com_jshopping/files/img_products/_________________________________________________.____________.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON серая,Размер,,,1,1,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON серая,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
Погонаж,Серия,Дверные коробки,1,1,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON серая,,13360,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON серая,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON серая,,_________________________________________________.____________.png,https://dvernoyton.com/components/com_jshopping/files/img_products/_________________________________________________.____________.png,https://dvernoyton.com/components/com_jshopping/files/img_products/_________________________________________________.____________.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON серая,Размер,,,1,1,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON серая,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
Погонаж,Серия,Дверные коробки,1,1,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON крем матовый,,11130,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON крем матовый,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON крем матовый,,_________________________________________________.__________________.png,https://dvernoyton.com/components/com_jshopping/files/img_products/_________________________________________________.__________________.png,https://dvernoyton.com/components/com_jshopping/files/img_products/_________________________________________________.__________________.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON крем матовый,Размер,,,1,1,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON крем матовый,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
